model,prompt_version,population_score,intervention_score,comparator_score,outcomes_score,study_design_score,total_picos_score,population_score_completeness,intervention_score_completeness,comparator_score_completeness,outcomes_score_completeness,study_design_score_completeness,total_score_std,valid_generation_rate
deepseek_deepseek-r1-0528,picos_baseline,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,6.333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,5.507570547286102,
deepseek_deepseek-r1-0528,picos_structured,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,8.333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.8867513459481287,
deepseek_deepseek-r1-0528,picos_evidence,1.0,1.0,1.0,1.0,0.6666666666666666,4.666666666666667,0.0,0.0,0.0,0.0,0.0,0.5773502691896257,
openai_gpt-oss-120b,picos_baseline,2.0,2.0,2.0,2.0,1.3333333333333333,9.333333333333334,1.0,1.0,1.0,1.0,0.6666666666666666,1.1547005383792515,
openai_gpt-oss-120b,picos_structured,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,6.666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.886751345948129,
openai_gpt-oss-120b,picos_evidence,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,2.0816659994661326,
qwen_qwen3-4b,picos_baseline,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,4.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,3.605551275463989,
qwen_qwen3-4b,picos_structured,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,4.666666666666667,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,4.618802153517007,
qwen_qwen3-4b,picos_evidence,1.0,1.0,1.0,1.0,0.6666666666666666,4.666666666666667,0.0,0.0,0.0,0.0,0.0,0.5773502691896258,
